id,group,0,0.25,0.5,1,1.5,2,2.5,3,4,5,6,7,8,9,10,15,20
1,B,10,10,10,10,10,10,10,10,8,7,6,6,5,4,3,2,1
2,C,5,5,5,5,5,5,5,4,3,2,1,1,0,0,0,0,0
3,B,10,10,10,10,10,10,9,8,7,6,5,3,2,1,1,1,0
4,B,6,6,6,6,6,5,5,3,3,2,2,2,1,1,1,1,0
5,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,B,8,8,8,8,8,8,8,6,6,4,3,3,2,2,0,0,0
7,C,5,5,5,5,5,3,3,3,2,2,2,1,1,1,1,0,0
8,B,6,6,6,6,6,6,5,5,4,3,2,2,2,1,1,0,0
9,C,2,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
10,B,8,8,8,8,8,8,8,6,5,3,2,2,1,0,0,0,0
11,C,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0
12,C,5,5,5,5,5,4,4,4,3,3,2,1,1,0,0,0,0
13,C,5,5,5,5,5,5,4,4,3,2,1,1,0,0,0,0,0
14,A,12,8,6,5,4,3,3,2,1,1,0,0,0,0,0,0,0
15,B,8,6,6,6,6,6,6,6,4,4,0,0,0,0,0,0,0
16,C,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0
17,A,12,12,10,8,6,5,4,3,2,1,0,0,0,0,0,0,0
18,A,12,12,10,10,10,8,8,7,6,5,4,3,3,2,2,1,0
19,B,6,6,6,6,6,6,6,6,2,2,2,1,1,1,0,0,0
20,A,12,11,10,9,8,8,8,8,8,7,7,6,5,4,1,0,0
21,C,5,5,5,4,3,3,3,3,2,2,1,1,0,0,0,0,0
22,A,50,10,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
23,A,12,11,10,9,8,7,7,6,6,5,5,4,4,3,2,1,0
24,B,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,B,9,8,7,6,5,4,3,2,1,0,0,0,0,0,0,0,0
26,B,6,6,6,6,6,6,6,6,4,3,2,1,0,0,0,0,0
27,C,4,4,4,4,4,3,3,2,2,2,1,1,1,1,0,0,0
28,A,15,15,15,15,15,15,15,10,10,10,8,7,6,5,5,3,2
29,C,5,5,5,5,4,4,3,3,2,2,1,1,1,0,0,0,0
30,B,8,8,8,8,6,5,4,3,2,0,0,0,0,0,0,0,0
31,A,12,12,12,12,10,10,8,6,6,5,4,4,3,3,2,1,0
32,C,5,4,4,3,3,3,2,2,1,1,1,0,0,0,0,0,0
33,B,8,8,8,8,8,8,6,6,5,4,6,2,2,1,0,0,0
34,C,3,3,3,3,3,2,2,1,0,0,0,0,0,0,0,0,0
35,C,5,5,5,3,3,2,2,2,1,1,0,0,0,0,0,0,0
36,B,10,10,10,10,10,10,10,8,6,5,5,4,4,3,3,2,1
37,C,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0
38,C,5,5,5,5,4,4,4,3,2,2,1,1,1,1,1,1,1
39,B,10,10,10,10,10,8,8,6,5,4,3,3,2,2,2,1,1
40,B,6,5,5,5,4,4,3,3,2,1,0,0,0,0,0,0,0
41,C,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,B,10,10,10,10,9,9,8,7,7,6,5,5,4,4,3,2,1
43,B,8,8,8,8,7,7,7,6,5,4,3,3,2,2,2,1,1
44,B,7,7,7,7,7,7,5,3,2,2,1,0,0,0,0,0,0
45,B,6,6,6,6,6,6,5,5,5,5,4,4,4,3,3,2,1
46,C,5,5,5,5,4,3,2,2,1,1,0,0,0,0,0,0,0
47,B,10,10,10,10,10,10,8,8,6,4,4,4,3,2,1,1,1
48,A,15,12,11,10,7,6,5,5,4,3,2,2,1,1,0,0,0
49,C,4,4,4,4,3,2,2,2,2,2,0,0,0,0,0,0,0
50,A,20,10,10,10,5,5,5,5,5,2,2,2,1,1,1,1,1
51,C,5,5,5,5,5,5,5,5,5,5,5,4,0,0,0,0,0
52,B,6,5,4,3,2,2,1,1,1,1,0,0,0,0,0,0,0
53,C,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0
54,B,7,7,7,7,7,7,7,7,5,5,4,4,4,4,4,0,0
55,B,8,8,8,8,8,8,8,6,5,5,5,4,3,3,2,1,1
56,C,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,1
57,B,6,6,6,6,6,5,5,5,4,4,4,3,3,2,2,1,1
58,C,4,4,4,4,4,4,4,4,4,3,3,2,2,2,1,1,1
59,B,10,10,10,10,8,7,7,8,7,7,5,2,0,0,0,0,0
